320.4112876359	2.6762749799  0.4231534789 0.077921283
331.8328931396	2.5762849041  0.4377345179 0.0774085437
343.2544986434	2.4903317787  0.4523314872 0.0769379065
354.6761041472	2.3603590465  0.4669428929 0.07651027
366.097709651	2.5790267059  0.4815674208 0.0761307362
377.5193151548	2.4391795794  0.4962039107 0.075793864
388.9409206585	2.4252254901  0.5108513344 0.0755065232
400.3625261623	2.4269497761  0.5255087777 0.0752695281
411.7841316661	2.2117523275  0.5401754249 0.0750829292
423.2057371699	2.3268358992  0.5548505462 0.0749550792
434.6273426737	2.2109314262  0.5695334865 0.074883426
446.0489481774	2.0961586877  0.5842236563 0.0748737451
457.4705536812	2.0977823583  0.5989205235 0.0749320296
468.892159185	2.0470877502  0.6136236071 0.0750608255
480.3137646888	1.96821153    0.6283324705 0.0752667882
491.7353701926	1.9642228629  0.6430467172 0.0755575338
503.1569756963	1.8159747297  0.6577659859 0.0759388524
514.5785812001	1.681111026   0.6724899468 0.0764220882
526.0001867039	1.6588859499  0.6872182983 0.077019693
537.4217922077	1.5624849611  0.7019507641 0.0777435711
548.8433977115	1.3339753686  0.7166870905 0.0786104282
560.2650032152	1.3793842591  0.731427044  0.079644356
571.686608719	1.1087364608  0.7461704098 0.0808665275
583.1082142228	1.1523444177  0.7609169895 0.082314217
594.5298197266	1.0760151421  0.7756665998 0.0840260579
605.9514252304	1.0182103492  0.790419071  0.0860574974
617.3730307341	0.8847803317  0.805174246  0.0884802857
628.7946362379	0.8174349637  0.8199319786 0.0913938991
