317.41285582	  2.2294963284  0.382854971     0.0649113257
328.9487743934	  2.137138658   0.396312159     0.0642120265
340.4846929668	  2.0563647353  0.4097840915    0.0635290275
352.0206115402	  1.9393384145  0.4232693604    0.0628615154
363.5565301136	  2.1075414718  0.4367667306    0.0622110243
375.092448687	  1.9815729184  0.4502751138    0.0615727094
386.6283672604	  1.9576976811  0.4637935476    0.0609488612
398.1642858337	  1.9455856332  0.4773211783    0.060338696
409.7002044071	  1.7598335447  0.4908572453    0.0597400107
421.2361229805	  1.8364511516  0.5044010695    0.0591564545
432.7720415539	  1.7297301896  0.5179520424    0.0585837472
444.3079601273	  1.6244549776  0.5315096171    0.0580232888
455.8438787007	  1.6091097202  0.5450733012    0.0574753638
467.3797972741	  1.5528905099  0.5586426495    0.0569386327
478.9157158475	  1.4752181595  0.5722172591    0.0564128216
490.4516344208	  1.4531882832  0.5857967644    0.0558983206
501.9875529942	  1.3246858373  0.5993808324    0.0553934431
513.5234715676	  1.2076703377  0.6129691599    0.0548988613
525.059390141	  1.1720296422  0.6265614697    0.0544147266
536.5953087144	  1.0840938275  0.6401575082    0.053939752
548.1312272878	  0.9074264279  0.6537570427    0.0534735486
559.6671458612	  0.9182370843  0.6673598596    0.0530175322
571.2030644346	  0.7207621506  0.680965762     0.0525689389
582.738983008	  0.7297892169  0.6945745688    0.0521298614
594.2749015813	  0.6620429422  0.7081861124    0.0516986087
605.8108201547	  0.6066779647  0.721800238     0.0512751455
617.3467387281	  0.5085812557  0.7354168022    0.0508592058
628.8826573015	  0.4512378048  0.749035672     0.0504507916
