0	0	     0             0
1	0	     0             0
2	0	     0             0
3	0	     0             0
4	0	     0             0
5	0	     0             0
6	0	     0             0
7	0	     0             0
8	0	     0             0
9	0	     0             0
10	0	     0             0
11	0	     0             0
12	0	     0             0
13	2	     0             1.4142135624
14	3	     0             1.7320508076
15	10	     0             3.1622776602
16	2	     0             1.4142135624
17	6	     0             2.4494897428
18	8	     0             2.8284271247
19	7	     0             2.6457513111
20	6	     0             2.4494897428
21	10	     0             3.1622776602
22	11	     0             3.3166247904
23	3	     0             1.7320508076
24	6	     0             2.4494897428
25	4	     0             2
26	5	     0             2.2360679775
27	7	     0             2.6457513111
28	8	     0             2.8284271247
29	9	     0             3
30	6	     0             2.4494897428
31	4	     0             2
32	5	     0             2.2360679775
33	5	     0             2.2360679775
34	8	     0             2.8284271247
35	3	     0             1.7320508076
36	1	     0             1
37	2	     0             1.4142135624
38	12	     0             3.4641016151
39	3	     0             1.7320508076
40	4	     0             2
41	9	     0             3
42	5	     0             2.2360679775
43	9	     0             3
44	14	     0             3.7416573868
45	6	     0             2.4494897428
46	11	     0             3.3166247904
47	7	     0             2.6457513111
48	4	     0             2
49	8	     0             2.8284271247
50	4	     0             2
51	8	     0             2.8284271247
52	6	     0             2.4494897428
53	5	     0             2.2360679775
54	8	     0             2.8284271247
55	11	     0             3.3166247904
56	3	     0             1.7320508076
57	8	     0             2.8284271247
58	6	     0             2.4494897428
59	5	     0             2.2360679775
60	9	     0             3
61	4	     0             2
62	4	     0             2
63	6	     0             2.4494897428
64	10	     0             3.1622776602
65	5	     0             2.2360679775
66	4	     0             2
67	4	     0             2
68	9	     0             3
69	9	     0             3
70	6	     0             2.4494897428
71	9	     0             3
72	6	     0             2.4494897428
73	7	     0             2.6457513111
74	4	     0             2
75	6	     0             2.4494897428
76	3	     0             1.7320508076
77	5	     0             2.2360679775
78	4	     0             2
79	7	     0             2.6457513111
80	5	     0             2.2360679775
81	3	     0             1.7320508076
82	8	     0             2.8284271247
83	5	     0             2.2360679775
84	5	     0             2.2360679775
85	7	     0             2.6457513111
86	9	     0             3
87	2	     0             1.4142135624
88	7	     0             2.6457513111
89	10	     0             3.1622776602
90	5	     0             2.2360679775
91	13	     0             3.6055512755
92	5	     0             2.2360679775
93	13	     0             3.6055512755
94	7	     0             2.6457513111
95	7	     0             2.6457513111
96	8	     0             2.8284271247
97	13	     0             3.6055512755
98	8	     0             2.8284271247
99	6	     0             2.4494897428
100	2	     0             1.4142135624
101	5	     0             2.2360679775
102	5	     0             2.2360679775
103	5	     0             2.2360679775
104	6	     0             2.4494897428
105	10	     0             3.1622776602
106	9	     0             3
107	6	     0             2.4494897428
108	12	     0             3.4641016151
109	7	     0             2.6457513111
110	9	     0             3
111	8	     0             2.8284271247
112	13	     0             3.6055512755
113	9	     0             3
114	8	     0             2.8284271247
115	12	     0             3.4641016151
116	13	     0             3.6055512755
117	4	     0             2
118	9	     0             3
119	7	     0             2.6457513111
120	13	     0             3.6055512755
121	7	     0             2.6457513111
122	11	     0             3.3166247904
123	8	     0             2.8284271247
124	7	     0             2.6457513111
125	8	     0             2.8284271247
126	11	     0             3.3166247904
127	9	     0             3
128	12	     0             3.4641016151
129	5	     0             2.2360679775
130	5	     0             2.2360679775
131	18	     0             4.2426406871
132	12	     0             3.4641016151
133	8	     0             2.8284271247
134	8	     0             2.8284271247
135	9	     0             3
136	5	     0             2.2360679775
137	12	     0             3.4641016151
138	13	     0             3.6055512755
139	5	     0             2.2360679775
140	11	     0             3.3166247904
141	11	     0             3.3166247904
142	9	     0             3
143	6	     0             2.4494897428
144	9	     0             3
145	8	     0             2.8284271247
146	8	     0             2.8284271247
147	7	     0             2.6457513111
148	7	     0             2.6457513111
